RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,,,,
203,Maharashtra,JALNA,2020,Kharif     ,Urad,10400,1500,,,,
204,Bihar,SARAN,2020,Winter     ,Rice,70129,164814,,,,
205,Maharashtra,SANGLI,2012,Rabi       ,Wheat,29400,50200,,,,
206,Bihar,BEGUSARAI,2013,Summer     ,Moong(Green Gram),534,327,,,,
207,Chhattisgarh,MAHASAMUND,2014,Whole Year ,Onion,219,958,,,,
208,Madhya Pradesh,BHOPAL,2020,Kharif     ,Maize,2590,5845,,,,
209,Madhya Pradesh,ALIRAJPUR,2017,Whole Year ,Maize,38269,34443,,,,
210,Uttar Pradesh,UNNAO,2016,Rabi       ,Wheat,232176,686542,,,,
211,Rajasthan,SAWAI MADHOPUR,2016,Rabi       ,other oilseeds,1332,487,,,,
212,Uttarakhand,PAURI GARHWAL,2011,Kharif     ,Soyabean,370,341,,,,
213,Rajasthan,BARMER,2018,Rabi       ,Wheat,16732,24526,,,,
214,Madhya Pradesh,PANNA,2020,Kharif     ,Rice,63640,64908,,,,
215,Karnataka,RAMANAGARA,2016,Summer     ,Maize,146,459,,,,
216,Odisha,NABARANGPUR,2012,Autumn     ,Ragi,4504,2031.3,,,,
217,Gujarat,DOHAD,2013,Kharif     ,Jowar,400,400,,,,
218,Assam,LAKHIMPUR,2009,Rabi       ,Urad,1345,568,,,,
219,Odisha,MALKANGIRI,2007,Rabi       ,Castor seed,360,160,,,,
220,Chhattisgarh,JASHPUR,2009,Kharif     ,Sunflower,5,1,,,,
221,Karnataka,RAICHUR,2017,Kharif     ,Bajra,55935,24202,,,,
222,Karnataka,CHITRADURGA,2011,Kharif     ,Jowar,7564,10694,,,,
223,Bihar,JEHANABAD,2015,Rabi       ,Peas & beans (Pulses),419,451,,,,
224,Kerala,THIRUVANANTHAPURAM,2021,Whole Year ,Mango,4840,28582,,,,
225,Bihar,MADHUBANI,2022,Kharif     ,Sesamum,186,167,,,,
226,Gujarat,RAJKOT,2013,Rabi       ,Wheat,73700,268700,,,,
227,Uttar Pradesh,MATHURA,2017,Kharif     ,Jowar,10,9,,,,
228,Rajasthan,BARAN,2015,Rabi       ,Barley,396,857,,,,
229,Chhattisgarh,DURG,2008,Rabi       ,Barley,4,2,,,,
230,Odisha,MAYURBHANJ,2011,Whole Year ,Dry chillies,1080,950,,,,
231,Manipur,BISHNUPUR,2013,Whole Year ,Dry chillies,540,320,,,,
232,Maharashtra,AKOLA,2022,Rabi       ,Wheat,18300,25800,,,,
233,Bihar,SAHARSA,2006,Rabi       ,Linseed,1035,791,,,,
234,Gujarat,BANAS KANTHA,2005,Kharif     ,Jowar,4500,100,,,,
235,Rajasthan,CHITTORGARH,2016,Whole Year ,Guar seed,5202,5203,,,,
236,Bihar,KISHANGANJ,2018,Kharif     ,Sesamum,244,192,,,,
237,Rajasthan,SIROHI,2007,Whole Year ,Coriander,4,2,,,,
238,Madhya Pradesh,GWALIOR,2015,Rabi       ,Wheat,67870,111365,,,,
239,West Bengal,DINAJPUR UTTAR,2018,Winter     ,Rice,177585,467258,,,,
240,Maharashtra,AKOLA,2005,Rabi       ,Wheat,20900,21800,,,,
241,Uttar Pradesh,AZAMGARH,2010,Kharif     ,Small millets,112,121,,,,
242,Assam,KARBI ANGLONG,2014,Whole Year ,Turmeric,578,465,,,,
243,Mizoram,LUNGLEI,2012,Kharif     ,Maize,1161,2287,,,,
244,Rajasthan,UDAIPUR,2010,Rabi       ,Linseed,2,1,,,,
245,Haryana,PALWAL,2020,Rabi       ,Wheat,96044,442000,,,,
246,Andhra Pradesh,GUNTUR,2006,Rabi       ,Sesamum,6000,2700,,,,
247,Haryana,SIRSA,2019,Kharif     ,Castor seed,2074,900,,,,
